H2ARepDep,H2BRepDep,H3RepDep,H4RepDep,H2ARepIndep,H2BRepIndep,H3RepIndep,H4RepIndep,EEF-2,UNC-22
WBGene00001877,WBGene00001913,WBGene00001876,WBGene00001875,WBGene00001909,WBGene00001915,WBGene00001946,WBGene00001911,WBGene00001167,WBGene00006759
WBGene00001881,WBGene00001885,WBGene00001880,WBGene00001879,WBGene00019947,,WBGene00001831,,,
WBGene00001886,WBGene00001889,WBGene00001883,WBGene00001884,WBGene00014240,,WBGene00010036,,,
WBGene00001890,WBGene00001903,WBGene00001887,WBGene00001888,,,WBGene00012276,,,
WBGene00001893,WBGene00001908,WBGene00001891,WBGene00001892,,,WBGene00001945,,,
WBGene00001895,WBGene00001918,WBGene00001899,WBGene00001900,,,,,,
WBGene00001904,WBGene00001878,WBGene00001901,WBGene00001902,,,,,,
WBGene00001907,WBGene00001882,WBGene00001906,WBGene00001905,,,,,,
WBGene00001917,WBGene00001894,WBGene00001916,WBGene00001912,,,,,,
WBGene00001921,WBGene00001896,WBGene00001919,WBGene00001920,,,,,,
WBGene00001925,WBGene00001926,WBGene00001923,WBGene00001924,,,,,,
WBGene00001927,WBGene00001928,WBGene00001929,WBGene00001930,,,,,,
WBGene00001931,WBGene00001922,WBGene00001933,WBGene00001934,,,,,,
WBGene00001935,WBGene00001932,WBGene00001937,WBGene00001938,,,,,,
WBGene00001939,WBGene00001936,WBGene00001914,WBGene00001941,,,,,,
WBGene00001942,WBGene00001940,WBGene00001943,,,,,,,